,index,speed
1710,6149,19
1711,6148,23
1712,6147,23
1713,6146,13
1714,6145,18
1715,6144,16
1716,6143,19
1717,6142,16
1718,6141,23
1719,5490,21
1720,5496,20
1721,5465,33
1722,5466,20
1723,5467,23
1724,5468,24
1725,5469,25
1726,5470,10
1727,5471,26
1728,5472,29
1729,5473,21
1730,5474,23
1731,5475,23
1732,5479,33
1733,5477,25
1734,5489,25
1735,5488,25
1736,5476,27
1737,5486,25
1738,5485,16
1739,5487,21
1740,5483,22
1741,5481,25
1742,5480,18
1743,5478,25
1744,5484,18
1745,4774,25
1746,4765,26
1747,4768,24
1748,4769,25
1749,4770,34
1750,4772,24
1751,4773,25
1752,4777,28
1753,4766,23
1754,4779,25
1755,4780,28
1756,4781,25
1757,4783,20
1758,4784,23
1759,4785,19
1760,4778,29
1761,4786,32
1762,4787,29
1763,4750,23
1764,4751,26
1765,4752,23
1766,4753,18
1767,4754,32
1768,4755,22
1769,4763,18
1770,4758,20
1771,4759,24
1772,4760,30
1773,4761,29
1774,4762,27
1775,4764,30
1776,4757,21
1777,4061,26
1778,4062,29
1779,4063,22
1780,4066,29
1781,4064,18
1782,4069,27
1783,4070,30
1784,4073,25
1785,4075,25
1786,4067,26
1787,4041,25
1788,4042,20
1789,4043,28
1790,4044,33
1791,4045,26
1792,4046,18
1793,4047,22
1794,4048,23
1795,4049,27
1796,4052,25
1797,4051,27
1798,4050,19
1799,4059,27
1800,4058,19
1801,4057,35
1802,4060,22
1803,4055,38
1804,4054,19
1805,4053,22
1806,4056,27
1807,3359,29
1808,3358,29
1809,3357,23
1810,3356,21
1811,3355,22
1812,3353,23
1813,3352,12
1814,3351,30
1815,3349,23
1816,3348,23
1817,3360,27
1818,3354,25
1819,3350,18
1820,3361,23
1821,3364,27
1822,3363,18
1823,3377,18
1824,3375,18
1825,3374,35
1826,3373,23
1827,3372,19
1828,3378,28
1829,3370,28
1830,3369,25
1831,3368,14
1832,3366,19
1833,3365,18
1834,3371,30
1835,2630,25
1836,2629,20
1837,2628,33
1838,2626,18
1839,2623,26
1840,2624,23
1841,2622,23
1842,2621,23
1843,2631,23
1844,2625,27
1845,2632,31
1846,2633,26
1847,2634,28
1848,2635,33
1849,2636,26
1850,2638,32
1851,2639,18
1852,2640,22
1853,2641,20
1854,2642,25
1855,2643,29
1856,2644,29
1857,2645,27
1858,1935,35
1859,1936,38
1860,1904,23
1861,1905,27
1862,1906,18
1863,1907,32
1864,1909,30
1865,1910,27
1866,1911,28
1867,1912,27
1868,1913,25
1869,1914,18
