,index,speed,time
577,37731,33,2023-09-06T05:01:08.000
578,37732,30,2023-09-06T05:01:08.000
579,37733,32,2023-09-06T05:01:08.000
580,37734,31,2023-09-06T05:01:08.000
581,37735,23,2023-09-06T05:01:08.000
582,37725,28,2023-09-06T05:01:08.000
583,37737,28,2023-09-06T05:01:08.000
584,37225,17,2023-09-06T05:10:22.000
585,37224,24,2023-09-06T05:10:22.000
586,37223,23,2023-09-06T05:10:22.000
587,37222,24,2023-09-06T05:10:22.000
588,37218,26,2023-09-06T05:10:22.000
589,37220,20,2023-09-06T05:10:22.000
590,37219,33,2023-09-06T05:10:22.000
591,37227,26,2023-09-06T05:10:22.000
592,37221,30,2023-09-06T05:10:22.000
593,37228,30,2023-09-06T05:10:22.000
594,37237,21,2023-09-06T05:10:22.000
595,37230,30,2023-09-06T05:10:22.000
596,37231,28,2023-09-06T05:10:22.000
597,37232,27,2023-09-06T05:10:22.000
598,37233,31,2023-09-06T05:10:22.000
599,37234,25,2023-09-06T05:10:22.000
600,37235,30,2023-09-06T05:10:22.000
601,37236,25,2023-09-06T05:10:22.000
602,37238,27,2023-09-06T05:10:22.000
603,37239,17,2023-09-06T05:10:22.000
604,37229,25,2023-09-06T05:10:22.000
605,36695,26,2023-09-06T05:20:45.000
606,36697,31,2023-09-06T05:20:45.000
607,36696,24,2023-09-06T05:20:45.000
608,36694,27,2023-09-06T05:20:45.000
609,36698,27,2023-09-06T05:20:45.000
610,36691,18,2023-09-06T05:20:45.000
611,36689,22,2023-09-06T05:20:45.000
612,36688,29,2023-09-06T05:20:45.000
613,36692,27,2023-09-06T05:20:45.000
614,36699,23,2023-09-06T05:20:45.000
615,36702,23,2023-09-06T05:20:45.000
616,36706,28,2023-09-06T05:20:45.000
617,36703,21,2023-09-06T05:20:45.000
618,36705,15,2023-09-06T05:20:45.000
619,36713,22,2023-09-06T05:20:45.000
620,36708,30,2023-09-06T05:20:45.000
621,36709,27,2023-09-06T05:20:45.000
622,36710,33,2023-09-06T05:20:45.000
623,36711,27,2023-09-06T05:20:45.000
624,36712,20,2023-09-06T05:20:45.000
625,36701,33,2023-09-06T05:20:45.000
626,36138,20,2023-09-06T05:30:56.000
627,36137,30,2023-09-06T05:30:56.000
628,36136,31,2023-09-06T05:30:56.000
629,36135,31,2023-09-06T05:30:56.000
630,36130,22,2023-09-06T05:30:56.000
631,36133,25,2023-09-06T05:30:56.000
632,36132,24,2023-09-06T05:30:56.000
633,36131,27,2023-09-06T05:30:56.000
